,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
139,2007-07-23,8144096.73,4072048.365,67546.40000000084,4139606.3149999995,8211654.68,0.821165468
140,2007-07-24,8211635.92,4105817.96,-251809.29000000004,3854027.4299999997,7959845.39,0.795984539
141,2007-07-25,7959828.12,3979914.06,-1966.160000000149,3977965.1699999995,7957879.2299999995,0.7957879229999999
142,2007-07-26,7957845.899999999,3978922.9499999997,-541489.5599999994,3437466.72,7416389.67,0.741638967
143,2007-07-27,7416356.130000001,3708178.0650000004,-150078.6900000004,3558132.914999999,7266310.9799999995,0.7266310979999999
144,2007-07-30,7266307.86,3633153.93,144729.0,3777886.0499999993,7411039.9799999995,0.7411039979999999
145,2007-07-31,7411026.78,3705513.39,-527068.879999999,3178457.7100000004,6883971.100000001,0.68839711
146,2007-08-01,6883943.6899999995,3441971.8449999997,-242633.51999999955,3199365.7350000013,6641337.580000001,0.6641337580000001
147,2007-08-02,5313057.119999999,2656528.5599999996,253785.11999999965,4238594.1400000015,6895122.700000001,0.6895122700000001
148,2007-08-03,4137065.9699999997,2068532.9849999999,-417143.1000000005,4409446.615,6477979.600000001,0.64779796
149,2007-08-06,2591161.1999999997,1295580.5999999999,89796.4499999996,5272195.45,6567776.05,0.6567776049999999
150,2007-08-07,1313537.49,656768.745,175877.94,6086885.245,6743653.99,0.674365399
151,2007-08-08,0.0,0.0,2846.5199999999604,6746500.51,6746500.51,0.674650051
152,2007-08-09,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
153,2007-08-10,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
154,2007-08-13,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
155,2007-08-14,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
156,2007-08-15,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
157,2007-08-16,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
158,2007-08-17,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
159,2007-08-20,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
160,2007-08-21,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
161,2007-08-22,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
162,2007-08-23,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
163,2007-08-24,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
164,2007-08-27,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
165,2007-08-28,0.0,0.0,0.0,6746500.51,6746500.51,0.674650051
