,datetime,mkt_value,margin,pnl,cash,net_asset,net_value
123,2007-06-28,18522482.34,9261241.17,-60708.98999999883,402375.61000000685,9663616.780000007,0.9663616780000007
124,2007-06-29,19327225.68,9663612.84,143170.85999999742,143174.80000000447,9806787.640000004,0.9806787640000004
125,2007-07-02,18679565.330000002,9339782.665000001,-68707.36000000127,398297.6150000021,9738080.280000003,0.9738080280000003
126,2007-07-03,17621269.07,8810634.535,-23594.589999998745,903851.1550000049,9714485.690000005,0.9714485690000005
127,2007-07-05,16653372.010000002,8326686.005000001,-39090.409999998636,1348709.275000006,9675395.280000007,0.9675395280000006
128,2007-07-06,15664900.77,7832450.385,40747.91999999946,1883692.815000007,9716143.200000007,0.9716143200000007
129,2007-07-09,14805525.28,7402762.64,40435.95999999996,2353816.520000008,9756579.160000008,0.9756579160000007
130,2007-07-10,13937937.28,6968968.64,-105929.56000000052,2681680.9600000074,9650649.600000007,0.9650649600000007
131,2007-07-11,12867515.52,6433757.76,45043.86000000127,3261935.7000000086,9695693.460000008,0.9695693460000009
132,2007-07-12,12004171.92,6002085.96,6193.499999998603,3699801.0000000065,9701886.960000006,0.9701886960000007
133,2007-07-13,11087862.02,5543931.01,26960.22000000067,4184916.1700000074,9728847.180000007,0.9728847180000008
134,2007-07-16,10192107.959999999,5096053.9799999995,11672.01000000001,4644465.210000007,9740519.190000007,0.9740519190000007
135,2007-07-17,10204334.509999998,5102167.254999999,-5273.739999999292,4633078.195000008,9735245.450000007,0.9735245450000006
136,2007-07-18,11125972.580000002,5562986.290000001,-50803.56000000017,4121455.600000005,9684441.890000006,0.9684441890000006
137,2007-07-19,11990235.92,5995117.96,28112.05999999959,3717435.9900000067,9712553.950000007,0.9712553950000007
138,2007-07-20,12950042.540000001,6475021.2700000005,-17315.599999999627,3220217.0800000066,9695238.350000007,0.9695238350000007
139,2007-07-23,13850303.91,6925151.955,254.09000000031665,2770340.485000007,9695492.440000007,0.9695492440000006
140,2007-07-24,14774053.32,7387026.66,11594.169999998994,2320059.9500000067,9707086.610000007,0.9707086610000006
141,2007-07-25,15716212.719999999,7858106.359999999,6814.299999998882,1855794.5500000063,9713900.910000006,0.9713900910000006
142,2007-07-26,16652368.27,8326184.135,-63151.52000000002,1324565.2550000064,9650749.390000006,0.9650749390000006
143,2007-07-27,17463227.650000002,8731613.825000001,-6275.440000000177,912860.1250000056,9644473.950000007,0.9644473950000007
144,2007-07-30,18370395.330000002,9185197.665000001,-1052.0700000018114,458224.2150000036,9643421.880000005,0.9643421880000005
145,2007-07-31,19286824.55,9643412.275,170014.90000000037,170024.50500000454,9813436.780000005,0.9813436780000004
